FID,FID_1,GEOID,Count_,GEOID_1,partyRatio,GEOID_12,HHmedIncom,GEOID_1_13,normScore,Count_1,Sum_FID_,Sum_X_Long,Sum_Y_Lati
0,0,12086013600,0,12086013600,0,12086013600,35063,12086013600,0.913722,0,0,0,0
1,1,12086013700,0,12086013700,1.171153846,12086013700,40151,12086013700,0.87853,0,0,0,0
2,2,12086980100,0,12086980100,0,12086980100,0,12086980100,0,0,0,0,0
3,3,12075970200,1,12075970200,2.6700611,12075970200,32470,12075970200,0.631701,1,0,-82.85985369,29.47812286
4,4,12011110501,0,12011110501,0,12011110501,58658,12011110501,0.393944,0,0,0,0
5,5,12069030307,0,12069030307,2.107981221,12069030307,40716,12069030307,0.966433,0,0,0,0
6,6,12069030914,0,12069030914,0.856321839,12069030914,44258,12069030914,0.576186,1,0,-81.64323975,28.80072416
7,7,12069030805,0,12069030805,1.289419087,12069030805,46611,12069030805,0.527803,0,0,0,0
8,8,12031014410,1,12031014410,2.093939394,12031014410,81176,12031014410,0.809684,0,0,0,0
9,9,12086001002,0,12086001002,0.050174216,12086001002,38636,12086001002,0.574377,0,0,0,0
10,10,12086001004,0,12086001004,0.048857868,12086001004,26690,12086001004,0.618037,0,0,0,0
11,11,12086001005,0,12086001005,0.069498069,12086001005,29590,12086001005,0.741755,0,0,0,0
12,12,12099007607,0,12099007607,0.711711712,12099007607,67594,12099007607,0.749854,0,0,0,0
13,13,12099007610,0,12099007610,0.887804878,12099007610,107969,12099007610,0.784645,0,0,0,0
14,14,12099007612,0,12099007612,0.709036145,12099007612,61071,12099007612,0.564267,0,0,0,0
15,15,12086001006,0,12086001006,0.073710074,12086001006,38940,12086001006,0.479448,0,0,0,0
16,16,12086001101,0,12086001101,0.150100067,12086001101,48367,12086001101,0.506934,0,0,0,0
17,17,12086001102,1,12086001102,0.147327249,12086001102,57560,12086001102,0.40291,0,0,0,0
18,18,12086001103,0,12086001103,0.107752957,12086001103,39479,12086001103,0.465809,0,0,0,0
19,19,12086001104,0,12086001104,0.218374043,12086001104,101023,12086001104,0.439647,1,0,-80.19350378,25.86767916
20,20,12099007614,0,12099007614,0.726703755,12099007614,56317,12099007614,0.785654,0,0,0,0
21,21,12099007615,0,12099007615,0.826023392,12099007615,37961,12099007615,0.730005,0,0,0,0
22,22,12099007616,0,12099007616,0.619469027,12099007616,72180,12099007616,0.897627,0,0,0,0
23,23,12099007618,0,12099007618,1.322757112,12099007618,84858,12099007618,0.86261,0,0,0,0
24,24,12099007705,0,12099007705,1.065995526,12099007705,87296,12099007705,0.81191,0,0,0,0
25,25,12099007716,0,12099007716,0.712643678,12099007716,73650,12099007716,0.706914,0,0,0,0
26,26,12117021805,0,12117021805,0,12117021805,102000,12117021805,0.982133,0,0,0,0
27,27,12117022209,0,12117022209,0,12117022209,64722,12117022209,0.834425,0,0,0,0
28,28,12071040119,0,12071040119,0,12071040119,99821,12071040119,0.792082,0,0,0,0
29,29,12071040309,0,12071040309,0.881070367,12071040309,47994,12071040309,0.571586,0,0,0,0
30,30,12061050100,0,12061050100,1.059012876,12061050100,38665,12061050100,0.574871,0,0,0,0
31,31,12061050802,0,12061050802,1.498961459,12061050802,59774,12061050802,0.858524,0,0,0,0
32,32,12071040311,0,12071040311,0,12071040311,38459,12071040311,0.639931,0,0,0,0
33,33,12071040205,0,12071040205,1.178826896,12071040205,47981,12071040205,0.691486,0,0,0,0
34,34,12071040312,0,12071040312,0,12071040312,50179,12071040312,0.615034,0,0,0,0
35,35,12071040108,0,12071040108,1.584,12071040108,70678,12071040108,0.783986,0,0,0,0
36,36,12061050200,0,12061050200,0,12061050200,46169,12061050200,0.836354,0,0,0,0
37,37,12061050703,0,12061050703,1.908483634,12061050703,75873,12061050703,0.804909,0,0,0,0
38,38,12061050602,0,12061050602,1.534342258,12061050602,50642,12061050602,0.843179,0,0,0,0
39,39,12011040701,0,12011040701,0.417975567,12011040701,64747,12011040701,0.705397,0,0,0,0
40,40,12011110331,1,12011110331,0.59220498,12011110331,105995,12011110331,0.531251,0,0,0,0
41,41,12011010103,0,12011010103,1.25751073,12011010103,70625,12011010103,0.877221,0,0,0,0
42,42,12003040102,0,12003040102,5.184813754,12003040102,62351,12003040102,0.828175,0,0,0,0
43,43,12003040202,0,12003040202,8.254901961,12003040202,59144,12003040202,0.826679,0,0,0,0
44,44,12003040201,1,12003040201,2.701101928,12003040201,54375,12003040201,0.564978,0,0,0,0
45,45,12003040101,0,12003040101,4.745901639,12003040101,65270,12003040101,0.688534,0,0,0,0
46,46,12011020325,0,12011020325,0,12011020325,53545,12011020325,0.414867,0,0,0,0
47,47,12011110338,1,12011110338,0.295192308,12011110338,50430,12011110338,0.341557,0,0,0,0
48,48,12011050206,0,12011050206,0.488393686,12011050206,61542,12011050206,0.527446,0,0,0,0
49,49,12011010503,0,12011010503,0.750714694,12011010503,180474,12011010503,0.766902,1,0,-80.25103479,26.32135633
50,50,12011030904,0,12011030904,1.17136329,12011030904,72123,12011030904,0.908618,0,0,0,0
51,51,12011050311,0,12011050311,0.112059765,12011050311,29409,12011050311,0.543224,0,0,0,0
52,52,12011070317,1,12011070317,0.527465467,12011070317,105980,12011070317,0.619957,0,0,0,0
53,53,12005002704,0,12005002704,0,12005002704,63261,12005002704,0.667537,1,0,-85.83262827,30.19153805
54,54,12011020212,0,12011020212,0.506129597,12011020212,26838,12011020212,0.507395,0,0,0,0
55,55,12037990100,0,12037990100,0,12037990100,0,12037990100,0,0,0,0,0
56,56,12011030201,0,12011030201,0.490322581,12011030201,44601,12011030201,0.454634,0,0,0,0
57,57,12011030203,0,12011030203,0.586834734,12011030203,40790,12011030203,0.586666,0,0,0,0
58,58,12011030202,0,12011030202,0.658536585,12011030202,38810,12011030202,0.449,0,0,0,0
59,59,12069030411,0,12069030411,2.106024096,12069030411,41387,12069030411,0.834357,0,0,0,0
60,60,12069030503,0,12069030503,0,12069030503,31458,12069030503,0.476367,0,0,0,0
61,61,12069030408,0,12069030408,2.089615932,12069030408,53450,12069030408,0.916558,0,0,0,0
62,62,12069030409,0,12069030409,1.853245532,12069030409,35859,12069030409,0.941064,0,0,0,0
63,63,12085990100,0,12085990100,0,12085990100,0,12085990100,0,0,0,0,0
64,64,12111382108,1,12111382108,1.057132964,12111382108,48681,12111382108,0.581405,0,0,0,0
65,65,12111382010,0,12111382010,1.453874539,12111382010,35469,12111382010,0.854241,0,0,0,0
66,66,12111381602,0,12111381602,1.146713615,12111381602,35776,12111381602,0.78506,0,0,0,0
