"","FID","FID_1","GEOID","schools","GEOID_1","partyRatio","GEOID_12","HHmedIncom","GEOID_1_13","normScore","protests","Sum_FID_","Sum_X_Long","Sum_Y_Lati","sqrtPartyRatio","racialScoreSq","protestDummy","schoolsDummy","logit_pred","poisson_pred","logit","poisson"
"1",0,0,12086013600,0,12086013600,0,12086013600,35063,12086013600,0.913722,0,0,0,0,0,0.834887893284,"0","0",0.0356753393063412,0.0398804393231442,-1.03699515397717,-1
"2",1,1,12086013700,0,12086013700,1.171153846,12086013700,40151,12086013700,0.87853,0,0,0,0,1.08219861670582,0.7718149609,"0","0",0.0290796686072042,0.0329353360886425,-1.02995062279259,-1
"3",2,2,12086980100,0,12086980100,0,12086980100,0,12086980100,0,0,0,0,0,0,0,"0","0",0.0522995988831425,0.0436851877032329,-1.05518579376088,-1
"4",3,3,12075970200,1,12075970200,2.6700611,12075970200,32470,12075970200,0.631701,1,0,-82.85985369,29.47812286,1.63403216002623,0.399046153401,"1","1",0.0587767562938028,0.0551094151065937,17.013528187935,17.1457197117004
"5",4,4,12011110501,0,12011110501,0,12011110501,58658,12011110501,0.393944,0,0,0,0,0,0.155191875136,"0","0",0.034196996667742,0.0293530679701881,-1.0354078383995,-1
"6",5,5,12069030307,0,12069030307,2.107981221,12069030307,40716,12069030307,0.966433,0,0,0,0,1.45188884595206,0.933992743489,"0","0",0.0264578234572849,0.0298269061303446,-1.02717686413057,-1
"7",6,6,12069030914,0,12069030914,0.856321839,12069030914,44258,12069030914,0.576186,1,0,-81.64323975,28.80072416,0.925376593069006,0.331990306596,"1","0",0.0313570426617979,0.030986579025349,31.8907624926726,31.2720361993473
"8",7,7,12069030805,0,12069030805,1.289419087,12069030805,46611,12069030805,0.527803,0,0,0,0,1.1355259076745,0.278576006809,"0","0",0.0300705003830549,0.0285390660668354,-1.03100276916511,-1
"9",8,8,12031014410,1,12031014410,2.093939394,12031014410,81176,12031014410,0.809684,0,0,0,0,1.4470450559675,0.655588179856,"0","1",0.04177298300792,0.0411297807497241,-1.04359403593007,-1
"10",9,9,12086001002,0,12086001002,0.050174216,12086001002,38636,12086001002,0.574377,0,0,0,0,0.223996017821746,0.329908938129,"0","0",0.0366399166302142,0.0357689417458545,-1.03803345941224,-1
"11",10,10,12086001004,0,12086001004,0.048857868,12086001004,26690,12086001004,0.618037,0,0,0,0,0.221038159601459,0.381969733369,"0","0",0.0394079195904446,0.0398444986297472,-1.04102461429168,-1
"12",11,11,12086001005,0,12086001005,0.069498069,12086001005,29590,12086001005,0.741755,0,0,0,0,0.263624864153592,0.550200480025,"0","0",0.0372551181140529,0.0398590941001968,-1.03869677088397,-1
"13",12,12,12099007607,0,12099007607,0.711711712,12099007607,67594,12099007607,0.749854,0,0,0,0,0.843630080070643,0.562281021316,"0","0",0.0259956024565928,0.0270192539060217,-1.02668940974205,-1
"14",13,13,12099007610,0,12099007610,0.887804878,12099007610,107969,12099007610,0.784645,0,0,0,0,0.942233982617906,0.615667776025,"0","0",0.0191474646123408,0.0191148526889134,-1.01952124699843,-1
"15",14,14,12099007612,0,12099007612,0.709036145,12099007612,61071,12099007612,0.564267,0,0,0,0,0.842042840359088,0.318397247289,"0","0",0.0283947335485915,0.0273975885885703,-1.02922455705937,-1
"16",15,15,12086001006,0,12086001006,0.073710074,12086001006,38940,12086001006,0.479448,0,0,0,0,0.271495992603943,0.229870384704,"0","0",0.0369164358438282,0.0348556579645131,-1.03833149813555,-1
"17",16,16,12086001101,0,12086001101,0.150100067,12086001101,48367,12086001101,0.506934,0,0,0,0,0.387427499024011,0.256982080356,"0","0",0.0337908807155982,0.0321470474130111,-1.034972636918,-1
"18",17,17,12086001102,1,12086001102,0.147327249,12086001102,57560,12086001102,0.40291,0,0,0,0,0.383832318858118,0.1623364681,"0","1",0.0634082458646967,0.0579155193072054,-1.067701050735,-1
"19",18,18,12086001103,0,12086001103,0.107752957,12086001103,39479,12086001103,0.465809,0,0,0,0,0.32825745536088,0.216978024481,"0","0",0.0365178806841048,0.034456890980022,-1.03790198069273,-1
"20",19,19,12086001104,0,12086001104,0.218374043,12086001104,101023,12086001104,0.439647,1,0,-80.19350378,25.86767916,0.467305085570444,0.193289484609,"1","0",0.0234651156953803,0.0203722224307352,42.6164529926812,48.0864461842571
"21",20,20,12099007614,0,12099007614,0.726703755,12099007614,56317,12099007614,0.785654,0,0,0,0,0.85246921058769,0.617252207716,"0","0",0.0277848798889963,0.02982284385263,-1.0285789423701,-1
"22",21,21,12099007615,0,12099007615,0.826023392,12099007615,37961,12099007615,0.730005,0,0,0,0,0.90885829038415,0.532907300025,"0","0",0.0316932012058813,0.0338616333247894,-1.0327305366908,-1
"23",22,22,12099007616,0,12099007616,0.619469027,12099007616,72180,12099007616,0.897627,0,0,0,0,0.787063546989695,0.805734231129,"0","0",0.0243540992279013,0.0271645317947732,-1.02496202690815,-1
"24",23,23,12099007618,0,12099007618,1.322757112,12099007618,84858,12099007618,0.86261,0,0,0,0,1.15011178239335,0.7440960121,"0","0",0.0212139602156206,0.02230521393962,-1.02167374620534,-1
"25",24,24,12099007705,0,12099007705,1.065995526,12099007705,87296,12099007705,0.81191,0,0,0,0,1.03247059328583,0.6591978481,"0","0",0.0215997772801946,0.0223070665332029,-1.02207662751767,-1
"26",25,25,12099007716,0,12099007716,0.712643678,12099007716,73650,12099007716,0.706914,0,0,0,0,0.844182254018645,0.499727403396,"0","0",0.0252060319050806,0.0254653822407809,-1.0258578045516,-1
"27",26,26,12117021805,0,12117021805,0,12117021805,102000,12117021805,0.982133,0,0,0,0,0,0.964585229689,"0","0",0.0219933847249311,0.0233314310792105,-1.02248797133008,-1
"28",27,27,12117022209,0,12117022209,0,12117022209,64722,12117022209,0.834425,0,0,0,0,0,0.696265080625,"0","0",0.0298298635423158,0.0307124905475874,-1.03074704365899,-1
"29",28,28,12071040119,0,12071040119,0,12071040119,99821,12071040119,0.792082,0,0,0,0,0,0.627393894724,"0","0",0.0237032397386393,0.022797903107537,-1.0242787241579,-1
"30",29,29,12071040309,0,12071040309,0.881070367,12071040309,47994,12071040309,0.571586,0,0,0,0,0.938653486117215,0.326710555396,"0","0",0.0305234854489812,0.0299286594373953,-1.03148450219355,-1
"31",30,30,12061050100,0,12061050100,1.059012876,12061050100,38665,12061050100,0.574871,0,0,0,0,1.02908351264608,0.330476666641,"0","0",0.032032769079659,0.0316502516878135,-1.03309282386471,-1
"32",31,31,12061050802,0,12061050802,1.498961459,12061050802,59774,12061050802,0.858524,0,0,0,0,1.22432081539113,0.737063458576,"0","0",0.0249541157665029,0.0268167216322092,-1.02559276047416,-1
"33",32,32,12071040311,0,12071040311,0,12071040311,38459,12071040311,0.639931,0,0,0,0,0,0.409511684761,"0","0",0.037548545838714,0.0365535694892108,-1.03901344392631,-1
"34",33,33,12071040205,0,12071040205,1.178826896,12071040205,47981,12071040205,0.691486,0,0,0,0,1.08573794996767,0.478152888196,"0","0",0.029000545823008,0.0296292851596879,-1.02986669631816,-1
"35",34,34,12071040312,0,12071040312,0,12071040312,50179,12071040312,0.615034,0,0,0,0,0,0.378266821156,"0","0",0.0348503350967728,0.0330145384025893,-1.03610873666963,-1
"36",35,35,12071040108,0,12071040108,1.584,12071040108,70678,12071040108,0.783986,0,0,0,0,1.25857061780418,0.614634048196,"0","0",0.0235132440408638,0.0238762250029768,-1.0240794295441,-1
"37",36,36,12061050200,0,12061050200,0,12061050200,46169,12061050200,0.836354,0,0,0,0,0,0.699488013316,"0","0",0.0338594483056581,0.0357936489829875,-1.03504608956355,-1
"38",37,37,12061050703,0,12061050703,1.908483634,12061050703,75873,12061050703,0.804909,0,0,0,0,1.38147878521532,0.647878498281,"0","0",0.0220869472114429,0.022094884132199,-1.02258579855178,-1
"39",38,38,12061050602,0,12061050602,1.534342258,12061050602,50642,12061050602,0.843179,0,0,0,0,1.23868569782653,0.710950826041,"0","0",0.0266363359998124,0.0286908191959873,-1.02736524588389,-1
"40",39,39,12011040701,0,12011040701,0.417975567,12011040701,64747,12011040701,0.705397,0,0,0,0,0.646510299221907,0.497584927609,"0","0",0.0277174718205794,0.0283876466407014,-1.02850763128746,-1
"41",40,40,12011110331,1,12011110331,0.59220498,12011110331,105995,12011110331,0.531251,0,0,0,0,0.769548555972916,0.282227625001,"0","1",0.0421237951265719,0.0378725323692828,-1.04397624130577,-1
"42",41,41,12011010103,0,12011010103,1.25751073,12011010103,70625,12011010103,0.877221,0,0,0,0,1.12138785886062,0.769516682841,"0","0",0.0234200011897431,0.0253559435794292,-1.02398165149632,-1
"43",42,42,12003040102,0,12003040102,5.184813754,12003040102,62351,12003040102,0.828175,0,0,0,0,2.27701861081547,0.685873830625,"0","0",0.0207150987820691,0.016689639210278,-1.02115329130093,-1
"44",43,43,12003040202,0,12003040202,8.254901961,12003040202,59144,12003040202,0.826679,0,0,0,0,2.87313451843105,0.683398169041,"0","0",0.0191598805518155,0.0118103170186061,-1.01953415258197,-1
"45",44,44,12003040201,1,12003040201,2.701101928,12003040201,54375,12003040201,0.564978,0,0,0,0,1.6435029443235,0.319200140484,"0","1",0.0513787549763471,0.0451898934147049,-1.05416150570723,-1
"46",45,45,12003040101,0,12003040101,4.745901639,12003040101,65270,12003040101,0.688534,0,0,0,0,2.17850904037601,0.474079069156,"0","0",0.0214315846484277,0.0166724716445577,-1.02190095685924,-1
"47",46,46,12011020325,0,12011020325,0,12011020325,53545,12011020325,0.414867,0,0,0,0,0,0.172114627689,"0","0",0.0353091673251001,0.0307532621965374,-1.03660153712376,-1
"48",47,47,12011110338,1,12011110338,0.295192308,12011110338,50430,12011110338,0.341557,0,0,0,0,0.543316029581311,0.116661184249,"0","1",0.0652928231902595,0.0595308516090242,-1.06985377325668,-1
"49",48,48,12011050206,0,12011050206,0.488393686,12011050206,61542,12011050206,0.527446,0,0,0,0,0.698851690990299,0.278199282916,"0","0",0.0291959258503108,0.0278087152972627,-1.03007396304541,-1
"50",49,49,12011010503,0,12011010503,0.750714694,12011010503,180474,12011010503,0.766902,1,0,-80.25103479,26.32135633,0.866437934303433,0.588138677604,"1","0",0.0117519957943124,0.0106605369045118,85.0919297030353,92.8039058404998
"51",50,50,12011030904,0,12011030904,1.17136329,12011030904,72123,12011030904,0.908618,0,0,0,0,1.08229538019895,0.825586669924,"0","0",0.0231008967283805,0.025480270193551,-1.02364716750278,-1
"52",51,51,12011050311,0,12011050311,0.112059765,12011050311,29409,12011050311,0.543224,0,0,0,0,0.334753289752319,0.295092314176,"0","0",0.0385422468243412,0.0380456618731274,-1.04008730149301,-1
"53",52,52,12011070317,1,12011070317,0.527465467,12011070317,105980,12011070317,0.619957,0,0,0,0,0.726268178429979,0.384346681849,"0","1",0.0416838369297056,0.038914178098041,-1.04349695699189,-1
"54",53,53,12005002704,0,12005002704,0,12005002704,63261,12005002704,0.667537,1,0,-85.83262827,30.19153805,0,0.445605646369,"1","0",0.0314887599844328,0.0299830624028018,31.7573635955932,32.3521635170447
