"","OID","GEO_ID","DP05_0037P","DP05_0038P","DP05_0039P","DP05_0044P","DP05_0052P","DP05_0057P","pctWhite","pctBlack","pctNative","pctAsian","pctPacific","pctOther","pctWsq","pctBsq","pctNsq","pctAsq","pctPsq","pctOsq","rawScore","normScore"
"1",0,"1400000US12001000200","75.1","16.2","0.0","5.3","0.2","0.7",75.1,16.2,0,5.3,0.2,0.7,5640.01,262.44,0,28.09,0.04,0.49,5931.07,0.593107
"2",1,"1400000US12001000301","49.6","41.8","0.3","5.2","0.0","0.6",49.6,41.8,0.3,5.2,0,0.6,2460.16,1747.24,0.09,27.04,0,0.36,4234.89,0.423489
"3",2,"1400000US12001000302","68.2","16.6","0.5","5.7","0.0","2.5",68.2,16.6,0.5,5.7,0,2.5,4651.24,275.56,0.25,32.49,0,6.25,4965.79,0.496579
"4",3,"1400000US12001000400","35.9","50.5","0.4","1.3","0.0","0.0",35.9,50.5,0.4,1.3,0,0,1288.81,2550.25,0.16,1.69,0,0,3840.91,0.384091
"5",4,"1400000US12001000500","75.1","19.4","0.0","1.7","0.0","1.4",75.1,19.4,0,1.7,0,1.4,5640.01,376.36,0,2.89,0,1.96,6021.22,0.602122
"6",5,"1400000US12001000600","5.6","88.0","0.0","0.0","0.0","0.0",5.6,88,0,0,0,0,31.36,7744,0,0,0,0,7775.36,0.777536
"7",6,"1400000US12001000700","27.6","70.9","0.0","0.0","0.0","1.0",27.6,70.9,0,0,0,1,761.76,5026.81,0,0,0,1,5789.57,0.578957
"8",7,"1400000US12001000806","65.6","9.6","0.0","18.6","0.0","0.6",65.6,9.6,0,18.6,0,0.6,4303.36,92.16,0,345.96,0,0.36,4741.84,0.474184
"9",8,"1400000US12001000808","59.0","21.5","0.8","12.3","0.0","0.6",59,21.5,0.8,12.3,0,0.6,3481,462.25,0.64,151.29,0,0.36,4095.54,0.409554
"10",9,"1400000US12001000809","62.8","19.9","1.1","12.8","0.0","1.3",62.8,19.9,1.1,12.8,0,1.3,3943.84,396.01,1.21,163.84,0,1.69,4506.59,0.450659
"11",10,"1400000US12001000901","69.7","12.0","0.4","14.4","0.0","0.4",69.7,12,0.4,14.4,0,0.4,4858.09,144,0.16,207.36,0,0.16,5209.77,0.520977
"12",11,"1400000US12001000902","77.0","9.1","0.0","8.7","0.1","0.7",77,9.1,0,8.7,0.1,0.7,5929,82.81,0,75.69,0.01,0.49,6088,0.6088
"13",12,"1400000US12001001000","91.3","2.2","0.7","1.6","0.4","1.0",91.3,2.2,0.7,1.6,0.4,1,8335.69,4.84,0.49,2.56,0.16,1,8344.74,0.834474
"14",13,"1400000US12001001100","82.1","9.1","0.0","5.7","0.1","0.3",82.1,9.1,0,5.7,0.1,0.3,6740.41,82.81,0,32.49,0.01,0.09,6855.81,0.685581
"15",14,"1400000US12001001201","71.4","14.0","0.4","8.0","0.0","2.1",71.4,14,0.4,8,0,2.1,5097.96,196,0.16,64,0,4.41,5362.53,0.536253
"16",15,"1400000US12001001202","74.9","11.8","0.5","6.1","0.0","0.9",74.9,11.8,0.5,6.1,0,0.9,5610.01,139.24,0.25,37.21,0,0.81,5787.52,0.578752
"17",16,"1400000US12001001203","67.1","19.4","1.4","7.4","0.0","0.5",67.1,19.4,1.4,7.4,0,0.5,4502.41,376.36,1.96,54.76,0,0.25,4935.74,0.493574
"18",17,"1400000US12001001400","35.1","59.5","0.2","0.0","0.0","0.2",35.1,59.5,0.2,0,0,0.2,1232.01,3540.25,0.04,0,0,0.04,4772.34,0.477234
"19",18,"1400000US12001001514","75.1","11.2","0.0","10.2","0.2","2.7",75.1,11.2,0,10.2,0.2,2.7,5640.01,125.44,0,104.04,0.04,7.29,5876.82,0.587682
"20",19,"1400000US12001001515","63.7","16.8","1.1","12.5","0.2","2.0",63.7,16.8,1.1,12.5,0.2,2,4057.69,282.24,1.21,156.25,0.04,4,4501.43,0.450143
"21",20,"1400000US12001001516","55.1","18.4","0.4","17.3","0.7","0.6",55.1,18.4,0.4,17.3,0.7,0.6,3036.01,338.56,0.16,299.29,0.49,0.36,3674.87,0.367487
"22",21,"1400000US12001001517","72.1","8.9","0.1","14.2","0.2","2.2",72.1,8.9,0.1,14.2,0.2,2.2,5198.41,79.21,0.01,201.64,0.04,4.84,5484.15,0.548415
"23",22,"1400000US12001001519","47.8","19.1","0.9","29.3","0.1","0.8",47.8,19.1,0.9,29.3,0.1,0.8,2284.84,364.81,0.81,858.49,0.01,0.64,3509.6,0.35096
"24",23,"1400000US12001001520","66.4","19.9","2.1","8.2","0.0","0.3",66.4,19.9,2.1,8.2,0,0.3,4408.96,396.01,4.41,67.24,0,0.09,4876.71,0.487671
"25",24,"1400000US12001001521","62.8","21.5","0.2","9.0","0.2","0.5",62.8,21.5,0.2,9,0.2,0.5,3943.84,462.25,0.04,81,0.04,0.25,4487.42,0.448742
"26",25,"1400000US12001001603","74.9","17.4","0.0","4.4","1.0","0.0",74.9,17.4,0,4.4,1,0,5610.01,302.76,0,19.36,1,0,5933.13,0.593313
"27",26,"1400000US12001001604","82.8","8.1","0.8","4.8","0.0","0.7",82.8,8.1,0.8,4.8,0,0.7,6855.84,65.61,0.64,23.04,0,0.49,6945.62,0.694562
"28",27,"1400000US12001001701","75.1","20.9","0.0","1.4","0.0","0.8",75.1,20.9,0,1.4,0,0.8,5640.01,436.81,0,1.96,0,0.64,6079.42,0.607942
"29",28,"1400000US12001001702","89.9","2.4","0.0","1.4","0.1","1.0",89.9,2.4,0,1.4,0.1,1,8082.01,5.76,0,1.96,0.01,1,8090.74,0.809074
"30",29,"1400000US12001001801","79.0","17.6","0.3","0.1","0.0","0.4",79,17.6,0.3,0.1,0,0.4,6241,309.76,0.09,0.01,0,0.16,6551.02,0.655102
"31",30,"1400000US12001001802","63.5","30.6","0.0","1.6","0.0","1.0",63.5,30.6,0,1.6,0,1,4032.25,936.36,0,2.56,0,1,4972.17,0.497217
"32",31,"1400000US12001001803","67.7","21.4","0.0","5.6","0.0","0.7",67.7,21.4,0,5.6,0,0.7,4583.29,457.96,0,31.36,0,0.49,5073.1,0.50731
"33",32,"1400000US12001001805","83.0","13.7","1.6","0.7","0.0","0.3",83,13.7,1.6,0.7,0,0.3,6889,187.69,2.56,0.49,0,0.09,7079.83,0.707983
"34",33,"1400000US12001001806","81.8","12.8","1.6","0.8","0.2","0.5",81.8,12.8,1.6,0.8,0.2,0.5,6691.24,163.84,2.56,0.64,0.04,0.25,6858.57,0.685857
"35",34,"1400000US12001001811","79.0","8.6","0.6","7.3","0.0","0.5",79,8.6,0.6,7.3,0,0.5,6241,73.96,0.36,53.29,0,0.25,6368.86,0.636886
"36",35,"1400000US12001001813","80.0","5.7","0.0","12.7","0.0","0.0",80,5.7,0,12.7,0,0,6400,32.49,0,161.29,0,0,6593.78,0.659378
"37",36,"1400000US12001001814","70.3","26.3","0.2","0.0","0.0","0.0",70.3,26.3,0.2,0,0,0,4942.09,691.69,0.04,0,0,0,5633.82,0.563382
"38",37,"1400000US12001001902","53.4","43.7","0.4","0.0","0.0","0.4",53.4,43.7,0.4,0,0,0.4,2851.56,1909.69,0.16,0,0,0.16,4761.57,0.476157
"39",38,"1400000US12001001907","88.6","8.4","0.5","0.4","0.0","1.3",88.6,8.4,0.5,0.4,0,1.3,7849.96,70.56,0.25,0.16,0,1.69,7922.62,0.792262
"40",39,"1400000US12001001908","67.9","20.8","1.0","7.2","0.0","0.9",67.9,20.8,1,7.2,0,0.9,4610.41,432.64,1,51.84,0,0.81,5096.7,0.50967
"41",40,"1400000US12001002000","73.4","20.9","0.0","2.1","0.0","0.7",73.4,20.9,0,2.1,0,0.7,5387.56,436.81,0,4.41,0,0.49,5829.27,0.582927
"42",41,"1400000US12001002101","76.0","20.1","0.1","0.0","0.0","0.0",76,20.1,0.1,0,0,0,5776,404.01,0.01,0,0,0,6180.02,0.618002
"43",42,"1400000US12001002102","89.0","7.2","0.0","0.2","0.0","0.0",89,7.2,0,0.2,0,0,7921,51.84,0,0.04,0,0,7972.88,0.797288
"44",43,"1400000US12001002201","77.6","14.3","0.0","2.7","0.0","0.5",77.6,14.3,0,2.7,0,0.5,6021.76,204.49,0,7.29,0,0.25,6233.79,0.623379
"45",44,"1400000US12001002202","88.8","7.5","0.0","1.8","0.0","0.0",88.8,7.5,0,1.8,0,0,7885.44,56.25,0,3.24,0,0,7944.93,0.794493
"46",45,"1400000US12001002204","76.2","3.7","0.3","15.1","0.0","1.8",76.2,3.7,0.3,15.1,0,1.8,5806.44,13.69,0.09,228.01,0,3.24,6051.47,0.605147
"47",46,"1400000US12001002205","74.7","10.8","0.2","11.9","0.0","1.6",74.7,10.8,0.2,11.9,0,1.6,5580.09,116.64,0.04,141.61,0,2.56,5840.94,0.584094
"48",47,"1400000US12001002207","78.2","5.9","0.0","11.8","0.0","0.7",78.2,5.9,0,11.8,0,0.7,6115.24,34.81,0,139.24,0,0.49,6289.78,0.628978
"49",48,"1400000US12001002208","87.2","4.8","0.4","6.3","0.2","0.0",87.2,4.8,0.4,6.3,0.2,0,7603.84,23.04,0.16,39.69,0.04,0,7666.77,0.766677
"50",49,"1400000US12001002209","78.9","10.5","0.2","7.8","0.0","0.4",78.9,10.5,0.2,7.8,0,0.4,6225.21,110.25,0.04,60.84,0,0.16,6396.5,0.63965
"51",50,"1400000US12001002210","79.8","15.4","0.3","2.5","0.0","0.0",79.8,15.4,0.3,2.5,0,0,6368.04,237.16,0.09,6.25,0,0,6611.54,0.661154
"52",51,"1400000US12001002217","49.2","40.9","0.0","1.6","0.0","3.3",49.2,40.9,0,1.6,0,3.3,2420.64,1672.81,0,2.56,0,10.89,4106.9,0.41069
"53",52,"1400000US12001002218","38.9","56.5","0.2","1.4","0.0","1.1",38.9,56.5,0.2,1.4,0,1.1,1513.21,3192.25,0.04,1.96,0,1.21,4708.67,0.470867
"54",53,"1400000US12001002219","55.3","33.9","0.5","5.9","0.1","0.8",55.3,33.9,0.5,5.9,0.1,0.8,3058.09,1149.21,0.25,34.81,0.01,0.64,4243.01,0.424301
"55",54,"1400000US12001002220","72.9","23.3","0.4","1.9","0.0","0.9",72.9,23.3,0.4,1.9,0,0.9,5314.41,542.89,0.16,3.61,0,0.81,5861.88,0.586188
"56",55,"1400000US12001110800","83.8","9.8","1.3","1.5","0.2","1.9",83.8,9.8,1.3,1.5,0.2,1.9,7022.44,96.04,1.69,2.25,0.04,3.61,7126.07,0.712607
"57",56,"1400000US12003040101","81.3","16.5","0.4","1.8","0.0","0.0",81.3,16.5,0.4,1.8,0,0,6609.69,272.25,0.16,3.24,0,0,6885.34,0.688534
"58",57,"1400000US12003040102","90.7","7.4","0.5","0.0","0.0","0.5",90.7,7.4,0.5,0,0,0.5,8226.49,54.76,0.25,0,0,0.25,8281.75,0.828175
"59",58,"1400000US12003040201","71.8","22.1","0.0","0.6","0.1","2.4",71.8,22.1,0,0.6,0.1,2.4,5155.24,488.41,0,0.36,0.01,5.76,5649.78,0.564978
"60",59,"1400000US12003040202","90.7","6.3","0.0","0.6","0.0","0.5",90.7,6.3,0,0.6,0,0.5,8226.49,39.69,0,0.36,0,0.25,8266.79,0.826679
"61",60,"1400000US12005000201","94.1","0.0","2.9","1.1","0.0","0.0",94.1,0,2.9,1.1,0,0,8854.81,0,8.41,1.21,0,0,8864.43,0.886443
"62",61,"1400000US12005000202","94.8","1.1","0.0","0.5","0.4","0.3",94.8,1.1,0,0.5,0.4,0.3,8987.04,1.21,0,0.25,0.16,0.09,8988.75,0.898875
"63",62,"1400000US12005000300","92.9","1.9","0.9","0.2","0.0","0.0",92.9,1.9,0.9,0.2,0,0,8630.41,3.61,0.81,0.04,0,0,8634.87,0.863487
"64",63,"1400000US12005000400","93.1","1.5","0.3","3.5","0.0","0.2",93.1,1.5,0.3,3.5,0,0.2,8667.61,2.25,0.09,12.25,0,0.04,8682.24,0.868224
